wk1Fields,Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
wk3    Did not report,    Did not report,"100,727","40,625","15,754","3,978","17,693","22,676"
wk3Covered by health insurance ,Covered by health insurance ,,,,,,
wk3    Yes,    Yes,"784,710","594,873","138,089","36,033","15,715",-
wk3    No,    No,"24,729","15,344","3,230","5,898",257,-
wk3    Did not report or don’t know,    Did not report or don’t know,"111,109","48,377","18,384","3,978","17,693","22,676"
wk3Last month's mortgage or rent paid on time ,Last month's mortgage or rent paid on time ,,,,,,
wk3    Yes,    Yes,"634,929","480,537","132,064","18,838","3,490",-
wk3    No,    No,"105,858","79,034","7,029","7,314","12,482",-
wk3    Payment was deferred,    Payment was deferred,"16,900","6,795",892,"9,212",-,-
wk3    Housing owned or payment not required,    Housing owned or payment not required,"54,077","46,821","1,837","5,419",-,-
wk3    Did not report,    Did not report,"108,783","45,407","17,881","5,126","17,693","22,676"
wk3Confidence in paying next rent or mortgage ,Confidence in paying next rent or mortgage ,,,,,,
wk3    No confidence,    No confidence,"53,700","27,677","6,312","4,183","15,528",-
wk3    Slight confidence,    Slight confidence,"84,832","50,209","17,088","17,091",444,-
wk3    Moderate confidence,    Moderate confidence,"126,918","89,554","29,926","7,438",-,-
wk3    High confidence,    High confidence,"480,027","387,044","86,330","6,653",-,-
wk3    Payment is/will be deferred,    Payment is/will be deferred,"12,247","11,917",330,-,-,-
wk3    Did not report,    Did not report,"162,825","92,192","19,718","10,545","17,693","22,676"
wk3Free groceries or free meal in last 7 days ,Free groceries or free meal in last 7 days ,,,,,,
wk3    Yes,    Yes,"95,411","52,709","40,786","1,915",-,-
wk3    No,    No,"796,132","605,661","117,372","39,249","33,666",185
wk3    Did not report,    Did not report,"29,005",224,"1,545","4,745",-,"22,492"
wk3Provider of free groceries or free meal * ,Provider of free groceries or free meal * ,,,,,,
wk3    School or other programs aimed at children,    School or other programs aimed at children,"88,802","47,240","39,968","1,594",-,-
wk3    Food pantry or food bank,    Food pantry or food bank,"8,183","7,137",905,141,-,-
wk3    Home-delivered meal service like Meals on Wheels,    Home-delivered meal service like Meals on Wheels,"1,653","1,653",-,-,-,-
"wk3    Church, synagogue, temple, mosque or other religious organization","    Church, synagogue, temple, mosque or other religious organization","6,997","1,533","5,464",-,-,-
wk3    Shelter or soup kitchen,    Shelter or soup kitchen,-,-,-,-,-,-
wk3    Other community program,    Other community program,"4,030","3,461",247,321,-,-
"wk3    Family, friends, or neighbors","    Family, friends, or neighbors","30,139","28,646",989,504,-,-
wk3    Did not report,    Did not report,"825,773","605,988","119,449","43,995","33,666","22,676"
wk3* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,
